MsgID.LOCAL_VELOCITY,21.8620000,-0.0325578,6.2885032,0.1307591
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3956847,37.7932811,2.9540000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,7.3700000,-0.1300000
MsgID.LOCAL_POSITION,22.1120000,-0.0488301,5.9869123,-2.9548218
MsgID.LOCAL_VELOCITY,22.1120000,-0.0269195,7.3822846,-0.1323373
MsgID.GLOBAL_POSITION,0.0000000,-122.3956651,37.7932798,2.9510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,7.3100000,-0.2000000
MsgID.LOCAL_POSITION,22.3620000,-0.1949829,7.7160869,-2.9519362
MsgID.LOCAL_VELOCITY,22.3620000,0.0186868,7.3174343,-0.2050626
MsgID.GLOBAL_POSITION,0.0000000,-122.3956460,37.7932804,2.9540000
MsgID.LOCAL_VELOCITY,0.0000000,0.1600000,5.7800000,-0.2600000
MsgID.LOCAL_POSITION,22.6130000,-0.1107307,9.5291319,-2.9558611
MsgID.LOCAL_VELOCITY,22.6130000,0.1774108,5.6486301,-0.2880149
MsgID.GLOBAL_POSITION,0.0000000,-122.3956303,37.7932819,2.9610000
MsgID.LOCAL_VELOCITY,0.0000000,0.1700000,4.1500000,-0.2000000
MsgID.LOCAL_POSITION,22.8630000,0.0430667,10.8055391,-2.9616721
MsgID.LOCAL_VELOCITY,22.8630000,0.1798360,4.1525736,-0.2097534
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3956203,37.7932823,2.9770000
MsgID.LOCAL_VELOCITY,0.0000000,0.0800000,2.5100000,-0.1800000
MsgID.LOCAL_POSITION,23.1140000,0.0904348,11.7020197,-2.9774849
MsgID.LOCAL_VELOCITY,23.1140000,0.0894194,2.5148244,-0.1811304
